Timestamp,Hvor mange 3d-printere har du i aktiv bruk i dag?,Hvor mange kilo PLA filament kjøper du per år?,Hvilken diameter bruker du (mest)?,Hva er det meste du er villig til å betale for norskprodusert PLA filament?,Hvilke farger bruker du mest? (maks 3 valg),Hvor mye PLA filament kan du levere til gjenvinning per år?,Vil du høre mer via epost når vi lanserer?,Har du noen tilbakemeldinger eller tips til oss?,Hvor i Norge bor du?
2/18/2018 20:51:49,6,10,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit, Grå",2,,,3530 røyse
2/19/2018 5:06:12,1,10,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit, Blå",2,,,Oslo
2/19/2018 11:51:06,1,1,1.75 mm,300 kr / kg,Sort,0,,Kult initiativ!!!,Oslo
2/20/2018 14:43:46,0,0,1.75 mm,mer enn 500 kr/kg,Hvit,0,,Jeg bruker bare bitraf sine 3D printere innimellom.,oslo
2/20/2018 23:17:47,2,5,1.75 mm,300 kr / kg,"Sort, Hvit, Grå",0,,,1153
2/22/2018 14:30:55,3,10,1.75 mm,300 kr / kg,"Sort, Hvit, Sølv",7,,,3628
2/22/2018 14:33:17,3,6,1.75 mm,mindre enn 300 kr/kg,"Blå, Grønn, Rød",,,,6847 vassenden
2/22/2018 14:35:36,1,7,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit, Grå",1,,,Bergen
2/22/2018 15:05:57,2,10,1.75 mm,350 kr / kg,"Sort, Hvit, Rød",2,,,2406 / Elverum 
2/22/2018 16:25:41,1,2,1.75 mm,300 kr / kg,"Sort, Hvit, Grå",0,,,4313 Sandnes
2/22/2018 16:59:43,4,10,1.75 mm,mindre enn 300 kr/kg,"Blå, Grønn, Rød",2,,,5427 Urangsvåg
2/22/2018 18:27:03,2,3,1.75 mm,300 kr / kg,"Hvit, Grå",1,,Jeg er mest interessert i å resirkulere failed prints,0570 OSLO
2/22/2018 18:35:13,1,3,1.75 mm,300 kr / kg,"Sort, Hvit",1,,,2114
2/22/2018 18:57:33,1,10,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit",2,,,8014 Bodø 
2/22/2018 19:21:06,2,10,1.75 mm,mindre enn 300 kr/kg,transparent,10,,nei,Oslo
2/22/2018 19:44:42,1,3,1.75 mm,350 kr / kg,"Sort, Grå",1,,,7374
2/22/2018 23:01:03,1,5,1.75 mm,400 kr / kg,"Sort, Grå, Blå",0,,,7732
2/23/2018 6:39:49,1,4,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit, Grå",2,,,Hønefoss 
2/23/2018 20:48:28,1,5,1.75 mm,400 kr / kg,"Sort, Grå, Blå",2,,,5570
2/24/2018 10:48:33,2,8,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit, Blå",3,,,2690
2/27/2018 10:02:02,6,10,2.85 mm,300 kr / kg,"Sort, Hvit",10,,Snakk med norwaymakers.org,Oslo
